id;name;natural_rating;desciption;inci_name;rating;categories
293;Olive Oil PEG-7 Esters;3;Emulgator, nawil¿a, wyg³adza i zmiêkcza.;OLIVE OIL PEG-7 ESTERS;3;{Emulgator}
294;Olej roœlinny;1;Emolient t³usty, tworzy na skórze i w³osach od¿ywczy film, który zmiêkcza i wyg³adza, zapobiega odparowywaniu wilgoci i chroni przed czynnikami zewnêtrznymi takimi jak np. wiatr, mróz czy klimatyzowane pomieszczenia. Jest komedogenny.;OLUS OIL;2;{Emolient}
295;Olej z kie³ków ry¿owych;1;"Ry¿ to jedna z najstarszych roœlin uprawnych na œwiecie. Z Azji Po³udniowo-Wschodniej rozprzestrzeni³ siê do Indii i Persji do Morza Œródziemnego. Olej z otrêbów ry¿owych jest bogaty w bia³ko, a bogaty w witaminy olej z otrêbów ry¿owych pochodzi z t³uszczu i bia³ka wyekstrahowanego z obranego naturalnego br¹zowego ry¿u.

Ten olejek jest bardzo lekki i lekko t³usty. Jako sk³adnik kosmetyków nadaje im przyjemny, nawil¿aj¹cy charakter. Naturalny olejek z otrêbów ry¿owych oryzanol, dziêki zawartoœci absorbuj¹cej, jest idealny do stosowania w kremach przeciws³onecznych i kremach na dzieñ. Ponadto zapewnia najlepsz¹ pielêgnacjê wra¿liwej, podra¿nionej i zniszczonej skóry. £atwo siê wch³ania i koi skórê.

W³aœciwoœci kosmetyczne:

• Lekki i nawil¿aj¹cy olejek, szybko siê wch³ania;
• Silny antyoksydant i intensywna pielêgnacja;
• Koj¹cy, idealny dla podra¿nionej i wra¿liwej skóry.

Olej z otrêbów ry¿owych jest bogaty w kwasy t³uszczowe omega-3 i 6, które pomagaj¹ od¿ywiaæ w³osy. Olejek z otrêbów ry¿owych pomaga w puszeniu siê w³osów, poniewa¿ regularne stosowanie tego oleju mo¿e sprawiæ, ¿e w³osy stan¹ siê grubsze i ³atwiejsze w uk³adaniu.

Aby czerpaæ korzyœci, masuj w³osy tym olejkiem przed myciem w³osów. Dziêki temu Twoje mieszki w³osowe bêd¹ zdrowe.

Sk³adniki wytworzone z ry¿u mo¿na stosowaæ w wielu ró¿nych kosmetykach i produktach higieny osobistej, takich jak szampony, kremy przeciwstarzeniowe i ³agodz¹ce toniki do skóry ";ORYZA SATIVA BRAN OIL;1;{Emolient}
296;Skrobia ry¿u siewnego;1;" Stosowany jest jako ok³ad ³agodz¹cy stany zapalne wyprysków i owrzodzenia skóry. By³ u¿ywany przez Azjatki w makija¿u twarzy i myciu skóry od XVI wieku.

Proszek ry¿owy jest obecnie u¿ywany na rynku w wielu ró¿nych postaciach. Mo¿e byæ stosowany jako maseczka na twarz, dodawany do mineralnych welonów i makija¿u, sprzedawany w postaci wody ry¿owej jako œrodki do mycia i nawil¿ania skóry lub balsamy. Nie tylko dobrze wch³ania olej, ale poniewa¿ wch³ania siê powoli, jest korzystny dla skóry suchej.

Mo¿na go znaleŸæ w proszkach sypkich lub sprasowanych kompaktach. Jest równie¿ stosowany w bronzerach i naturalnych korektorach zio³owych ze wzglêdu na g³adk¹, jedwabist¹ konsystencjê. Dzia³a zmiêkczaj¹co i pomaga zachowaæ miêkk¹, g³adk¹ i elastyczn¹ skórê. ";ORYZA SATIVA STARCH;1;{Œrodek nadaj¹cy strukturê, emulgator, wype³niacz, stabilizator emulsji, stabilizator lepkoœci }
297;Tertrapeptyd kwasu palmitynowego. Niskocz¹teczkowy peptyd;2;"Palmitoyltetrapeptide-7 to rodzaj syntetycznego zwi¹zku peptydowego, który ³¹czy wiele ³añcuchów aminokwasów w celu zmniejszenia stanu zapalnego skóry i zwi¹zanego z nim uszkodzenia skóry. Uwa¿a siê równie¿, ¿e ten zwi¹zek peptydowy stymuluje regeneracjê w³ókien kolagenowych w skórze w³aœciwej, dzia³aj¹c jako swego rodzaju pos³aniec komórkowy.

Palmitoyl Tetrapeptide-7 pomaga rozwi¹zaæ wewnêtrzne przyczyny œcieñczenia pod oczami. Oba pomagaj¹ „naprawiæ” elementy budulcowe skóry (np. kolagen itp.), zmniejszaj¹c œcieñczenie skóry i niweluj¹c oznaki starzenia siê wokó³ oczu. Przeciwutleniacze mog¹ równie¿ pomóc delikatnej skórze pod oczami zapobiegaæ oznakom starzenia, wiêc szukaj serum bogatych w witaminê C i witaminê B3 (np. niacynamid).

Palmitoyltetrapeptide-7 jest stosowany g³ównie w produktach przeciwstarzeniowych ze wzglêdu na jego zdolnoœæ do rozjaœniania skóry i poprawy jej elastycznoœci. Palmitoyltetrapeptide-7 mo¿e równie¿ redukowaæ problemy z szorstk¹ skór¹, drobnymi liniami, cienk¹ skór¹ i zmarszczkami.

Palmitoyl tetrapeptide-7 to syntetyczny peptyd sk³adaj¹cy siê z czterech aminokwasów, który jest stosowany w kosmetykach i produktach kosmetycznych w celu zahamowania produkcji nadmiaru interleukin, przekaŸników chemicznych, które powoduj¹ ostr¹ reakcjê zapaln¹ w organizmie. ";PALIMTOYL TETRAPEPTIDE-7;1;{Substancja aktywna}
298;Aminokaptyd nowej generacji z³o¿onym z trzech aminokwasów po³¹czonych z kwasem palmitynowym;2;"Palmitoyl hexapeptide-12, czyli palmitoil oligopeptide, to aminopeptyd nowej generacji sk³adaj¹cy siê z trzech aminokwasów i kwasu palmitynowego. To dziêki kwasowi palmitynowemu peptyd jest w stanie wnikn¹æ w skórê.
 
Peptyd ten jest fragmentem cz¹steczki kolagenu typu I. Pe³ni rolê noœnika informacji komórkowej, stymuluj¹c produkcjê kolagenu i innych niezbêdnych bia³ek macierzy zewn¹trzkomórkowej. Dzia³a synergistycznie z tetrapeptydem palmitoli-7 oraz znacz¹co zwiêksza zawartoœæ kwasu hialuronowego w skórze. Osi¹ga siê maksymalny efekt regeneracji i elastycznoœci skóry, przywraca elastycznoœæ, koloryt i wilgotnoœæ skóry. ";PALMITOYL HEXAPEPTIDE-12;1;{Substancja aktywna}
299;Palmitoyl Tripeptide-1;2;"Palmitoyltripeptide-1, znany równie¿ jako pal-GHK i oligopeptyd palmitoilowy, to syntetyczny peptyd po³¹czony z kwasem t³uszczowym, który mo¿e pomóc naprawiæ widoczne zmiany skórne i wzmocniæ elementy podporowe skóry.

Jest klasyfikowany jako peptyd przekaŸnikowy ze wzglêdu na jego zdolnoœæ do „wskazywania” skórze, jak powinna wygl¹daæ najlepiej, szczególnie w odniesieniu do zauwa¿alnie zanikaj¹cych oznak uszkodzeñ s³onecznych, takich jak zmarszczki i szorstkoœæ. Niektóre badania wykaza³y, ¿e ten peptyd ma takie same w³aœciwoœci przeciwstarzeniowe jak retinol, ale nie ma powodu, dla którego dana osoba nie mo¿e stosowaæ obu sk³adników dla jeszcze wiêkszych korzyœci.

Stosowany jest w pielêgnacji i makija¿u przeciwzmarszczkowym. W œlepym, randomizowanym badaniu klinicznym 28 ochotników na³o¿y³o krem ??zawieraj¹cy sk³adnik aktywny palmitoilotripeptyd-1 na po³owê twarzy i jedno przedramiê, a krem ??z placebo na³o¿ono dwukrotnie na drug¹ po³owê twarzy i drugie przedramiê. dzieñ. Eksperyment ten potwierdzi³ przeciwzmarszczkowe dzia³anie Palmitoyl Tripeptide-1, który mo¿e zmniejszyæ g³êbokoœæ, objêtoœæ i gêstoœæ zmarszczek, zmniejszyæ szorstkoœæ, z³o¿onoœæ i obszar zajmowany przez g³êbokie zmarszczki oraz poprawiæ koloryt skóry. ";PALMITOYL TRIPEPTIDE-1;1;{Substancja aktywna}
300;Ekstrakt z ¿eñ szenia;1;"Ekstrakt z korzenia ¿eñ-szenia to wyci¹g z korzeni roœliny ¿eñ-szenia lub ¿eñ-szenia. Od wieków uznawany jest za promuj¹cy d³ugie ¿ycie, si³ê i m¹droœæ.

Ekstrakt z korzenia ¿eñ-szenia Panax zawiera wysokie stê¿enia sk³adników od¿ywczych, które mog¹ zwalczaæ dzia³anie wolnych rodników wywo³ywanych przez s³oñce i zanieczyszczenie œrodowiska.

Wspó³czesna medycyna ustali³a, ¿e ??ekstrakt zio³owy ma cenne w³aœciwoœci jako sk³adnik w pielêgnacji skóry i wykazano, ¿e:

• Posiada w³aœciwoœci przeciwstarzeniowe;
• Skuteczny œrodek nawil¿aj¹cy skórê;
• Redukuje zmarszczki;
• Zmniejsza degradacjê kolagenu i wzmacnia skórê;
• Wybiela i rozjaœnia skórê, usuwa przebarwienia i pigment na skórze;
• Hamuje wp³yw promieniowania ultrafioletowego s³oñca na skórê.

W kosmetykach i produktach do higieny osobistej sk³adniki te s¹ wykorzystywane w wielu rodzajach produktów, w tym w produktach do k¹pieli, balsamach do cia³a i r¹k, produktach do pielêgnacji skóry i kosmetykach do oczu. ";PANAX GINSENG ROOT EXTRACT;1;{Substancja aktywna, Ekstrakt}
301;Kwas any¿owy;2;"Kwas any¿owy (aka p-anizynowy) to doœæ charakterystyczny zwi¹zek pomocniczy, który w kosmetykach i produktach higienicznych stosuje siê g³ównie jako œrodek przeciwdrobnoustrojowy, konserwuj¹cy, a tak¿e poprawiaj¹cy smak produktu koñcowego. Dzia³a równie¿ jako naturalny œrodek aromatyzuj¹cy.
Dzia³anie kwasu any¿owego w kosmetykach

Kwas any¿owy i pokrewny mu zwi¹zek, any¿an sodu, s¹ doœæ wszechstronne. Przede wszystkim dzia³a w kosmetyce jako aromatyczny œrodek maskuj¹cy – ze wzglêdu na swoje wyraŸne w³aœciwoœci aromatyczne niezawodnie maskuje „nieestetyczny”, jeœli nie ca³kowicie odpychaj¹cy zapach lub smak produktu.

Ponadto kwas any¿owy dzia³a równie¿ jako konserwant i jest doœæ termostabilny i bezpieczny. Wa¿ne jest, aby wzmacnia³ w³aœciwoœci przeciwdrobnoustrojowe innych podobnych sk³adników. Ponadto jego obecnoœæ w produkcie kosmetycznym w tej roli wymaga bardzo niskich stê¿eñ, co korzystnie odró¿nia ten sk³adnik od wiêkszoœci naturalnych konserwantów i stabilizatorów. Wykorzystywany jest równie¿ w produkcji kosmetyków do regulacji wartoœci pH poprzez wprowadzenie do fazy wodnej. Kwas any¿owy jest czêsto u¿ywany do stabilizacji kwasu hialuronowego. Kwas any¿owy jest równie¿ istotny w preparatach na bazie œrodków powierzchniowo czynnych.

Mo¿e byæ stosowany w po³¹czeniu z innymi zwi¹zkami w celu kontrolowania rozwoju bakterii, pleœni i dro¿d¿y w ¿ywnoœci sprzedawanej jako „bez konserwantów”. Ogólnie rzecz bior¹c, pojawienie siê tego sk³adnika na liœcie oficjalnych sk³adników kosmetycznych zatwierdzonych przez organy regulacyjne krajów produkuj¹cych znacznie ograniczy³o stosowanie niektórych tradycyjnych syntetycznych i potencjalnie niebezpiecznych konserwantów (na przyk³ad parabenów uwalniaj¹cych formaldehyd, izotiazolinonów itp.). .

Choæ w przewa¿aj¹cej wiêkszoœci przypadków kwas any¿owy pe³ni w kosmetyce drugorzêdne role, w niektórych formu³ach stosowany jest nie tylko jako sk³adnik pomocniczy, ale równie¿ jako sk³adnik aktywny. W szczególnoœci jego w³aœciwoœci przeciwdrobnoustrojowe s¹ wykorzystywane w walce z ³upie¿em. Równie¿ wyniki kilku badañ sugeruj¹, ¿e kwas any¿owy mo¿e zak³ócaæ dzia³anie tyrozynazy, czyli dzia³aæ jako sk³adnik rozjaœniaj¹cy skórê. Dane te wymagaj¹ jednak dodatkowego potwierdzenia, póki co kwas any¿owy nie jest stosowany w tej roli.
Dla kogo wskazany jest kwas any¿owy?

Ten sk³adnik nie ma ¿adnych wskazañ, poniewa¿ jest substancj¹ pomocnicz¹ (zapach, œrodek maskuj¹cy). W niektórych przypadkach pomaga zwalczaæ skutki ³ojotoku na skórze g³owy (³upie¿).
Kto jest przeciwwskazany w kwasie any¿owym?

Kwas any¿owy jest bezpieczny, gdy jest stosowany zgodnie z zaleceniami. Bezwzglêdnym przeciwwskazaniem jest indywidualna reakcja nadwra¿liwoœci.
Kosmetyki zawieraj¹ce kwas any¿owy

Sk³adnik ten stosowany jest zarówno w tradycyjnych kosmetykach, jak i produktach do higieny osobistej, mo¿na go znaleŸæ w produktach zmywalnych i bez sp³ukiwania. Tak wiêc kwas any¿owy znalaz³ zastosowanie w kosmetykach dekoracyjnych, kremach, balsamach, szamponach, produktach do k¹pieli i myd³ach w p³ynie, wilgotnych chusteczkach i produktach do pielêgnacji jamy ustnej (na przyk³ad p³ukanki).

Zgodnie z Rozporz¹dzeniem Unii Europejskiej maksymalne dopuszczalne stê¿enie tego sk³adnika w gotowych produktach kosmetycznych wynosi 0,3%. Zalecany poziom u¿ytkowania to nie mniej ni¿ 0,15%. ";P-ANISIC ACID;1;{Konserwant, maskuje zsapach}
302;Pantenol;3;Pantenol to prowitamina B5. Produkowany jest w dwóch odmianach, D-panthenol i L-panthenol. Oba te sk³adniki s¹ dobrymi œrodkami nawil¿aj¹cymi. Ale niestety tylko D-pantenol ma aktywnoœæ biologiczn¹. Dlatego w kosmetyce stosuje siê czysty D-pantenol lub mieszaninê obu sk³adników w proporcji 50/50. Pantenol (Panthenol) jest szeroko stosowany w kosmetyce jako skuteczny sk³adnik i od¿ywka nawil¿aj¹ca, zatrzymuj¹ca wilgoæ i zmiêkczaj¹ca. Mo¿na go znaleŸæ w kremach nawil¿aj¹cych, produktach do pielêgnacji skóry, od¿ywkach do w³osów, szamponach, produktach do stylizacji, produktach do pielêgnacji paznokci i makija¿u (cieñ do powiek, szminka i tusz do rzês). Pantenol w produktach do skóry ³atwo wch³ania siê w skórê, zapewnia szybkie i g³êbokie nawil¿enie skóry, wspomaga gojenie ran i oparzeñ, poprawia keratynizacjê komórek, zmniejsza swêdzenie i podra¿nienie skóry. Pantenol jest u¿ywany przez wielu tatuatorów jako œrodek nawil¿aj¹cy do nowych tatua¿y. Mieszankê pantenolu z alantoin¹ stosuje siê w leczeniu oparzeñ s³onecznych i drobnych ran. Stosowanie pantenolu skutecznie zmniejsza równie¿ podra¿nienia i zaczerwienienia skóry po zastosowaniu kosmetyków z laurylosiarczanem sodu. PantenolPantenol Pantenol do w³osów jest równie¿ skutecznym œrodkiem nawil¿aj¹cym. Otula w³osy, uszczelnia powierzchniê, nat³uszcza je, wzmacnia i uelastycznia w³osy, dodaje blasku. Jeœli preparaty pantenolowe s¹ stosowane przed suszeniem w³osów suszark¹ do w³osów, pomaga to utrzymaæ wilgoæ we w³osach. Pantenol skutecznie od¿ywia równie¿ w³osy i skórê g³owy, wspomaga wzrost w³osów i ogranicza powstawanie rozdwojonych koñcówek. G³ówn¹ zalet¹ stosowania pantenolu jest brak kumuluj¹cego siê dzia³ania tego sk³adnika na w³osach na powierzchni w³osa. Poniewa¿ dobrze rozpuszcza siê w wodzie i alkoholu. Resztki pantenolu mo¿na ³atwo usun¹æ z w³osów sp³ukuj¹c wod¹, a nawet myj¹c w³osy ³agodnym szamponem. W ramach produktów do stylizacji pantenol pe³ni dodatkowo funkcjê emolientu. W wyniku jego aplikacji film utrwalaj¹cy na w³osach staje siê elastyczny i mniej ³amliwy, a w³osy staj¹ siê naturalne. Pantenol (Panthenol) w sk³adzie lakieru do paznokci ³atwo siê przez nie wch³ania, nawil¿a je. Dziêki temu paznokcie staj¹ siê bardziej elastyczne, sprê¿yste i mniej zniszczone. Pantenol jest stosowany w produktach do pielêgnacji jamy ustnej ze wzglêdu na swoje w³aœciwoœci zmiêkczaj¹ce i lecznicze. Kolejn¹ zalet¹ pantenolu jest jego bezpieczeñstwo dla organizmu, a tak¿e fakt, ¿e rzadko mo¿e powodowaæ alergie. ;PANTHENOL;1;{Substancja aktywna}
303;Parafina;2;"Parafina ciek³a to wysokorafinowany olej mineralny stosowany w kosmetyce i medycynie. Olej mineralny to klarowny, bezwonny olej pozyskiwany ze Ÿród³a mineralnego, zwykle destylatu ropy naftowej. Jest produktem ubocznym rafinacji ropy naftowej, który otrzymuje siê przy produkcji benzyny i innych produktów naftowych. Olej jest naturalnie wystêpuj¹c¹ ciecz¹ pozyskiwan¹ z ziemi, a po przerobieniu na ciek³¹ parafinê w niczym nie przypomina oryginalnego oleju.

Olej mineralny mo¿e byæ u¿ywany do ró¿nych celów, w tym jako œrodek przeczyszczaj¹cy, do przygotowywania ¿ywnoœci, a tak¿e do zastosowañ mechanicznych, elektrycznych i przemys³owych. Jednak ciek³a parafina to okreœlenie na wysoko rafinowany olej mineralny, który nadaje siê do pielêgnacji skóry, makija¿u, farmaceutyków, a nawet do spo¿ycia. To wa¿ne rozró¿nienie. Poniewa¿ niektóre kosmetyczki, które wyra¿aj¹ obawy dotycz¹ce p³ynnej parafiny, najczêœciej odnosz¹ siê do niemedycznego oleju mineralnego, który nie zosta³ odpowiednio rafinowany.
Dlaczego stosuje siê p³ynn¹ parafinê?

Po spotkaniu z p³ynn¹ parafin¹ w sk³adzie kremu lub balsamu wielu jest zagubionych. W koñcu parafina to termin, który zwykle kojarzy siê ze œwiecami i nie ma nic wspólnego z pielêgnacj¹ skóry. Jednak ten sk³adnik mo¿na znaleŸæ w kremach, balsamach, balsamach do ust, myd³ach, a nawet maœciach na egzemê. Co robi parafina ciek³a? A co wa¿niejsze, czy mo¿na bezpiecznie nak³adaæ na skórê?

Parafina p³ynna mo¿e byæ stosowana w ró¿nych stanach skóry, takich jak suchoœæ skóry, swêdzenie i egzema.
Sucha skóra

Ciek³¹ parafinê mo¿na zaliczyæ do emolientów okluzyjnych. Sk³adniki okluzyjne dzia³aj¹ tworz¹c na skórze film, który dzia³a jak wodoodporna bariera. Folia pomaga równie¿ zapobiegaæ parowaniu naturalnego nawil¿enia skóry. Z czasem zwiêksza to poziom nawil¿enia skóry, powoduj¹c gromadzenie siê wody w najwy¿szej warstwie skóry. Emolienty, takie jak ciek³a parafina, mog¹ byæ korzystne dla wszystkich rodzajów skóry, ale s¹ szczególnie korzystne dla osób o suchej, szorstkiej i / lub ³uszcz¹cej siê skórze. Emolienty mog¹ z³agodziæ te objawy, czyni¹c skórê miêkk¹ i g³adk¹.
Podra¿nienie

Oprócz nawil¿ania skóry, ciek³a parafina mo¿e pomóc w swêdzeniu, poniewa¿ okluzyjny film, który tworzy na powierzchni skóry, chroni przed czynnikami dra¿ni¹cymi ze œrodowiska, takimi jak alergeny, zanieczyszczenia i bakterie.
Wyprysk

Egzema lub zapalenie skóry to okreœlenie grupy chorób skóry charakteryzuj¹cych siê suchymi, swêdz¹cymi wysypkami. Wyprysk mo¿e byæ bardzo nieprzyjemny z powodu intensywnego swêdzenia zwi¹zanego z wysypk¹. Poniewa¿ ciek³a parafina zatrzymuje wilgoæ i pomaga zapobiegaæ swêdzeniu, sk³adnik ten jest równie¿ czêsto dodawany do kremów na egzemê. Wzmacniaj¹c naturaln¹ barierê wilgoci, parafina ciek³a mo¿e redukowaæ objawy tego stanu skóry.
Czy parafina ciek³a jest bezpieczna dla Twojej skóry?

W ostatnich latach p³ynny wosk parafinowy spotka³ siê z du¿¹ krytyk¹ i zosta³ uznany za szkodliwy dla skóry. Aby ustaliæ, czy parafina ciek³a jest bezpieczna dla skóry, przyjrzyjmy siê kilku najwa¿niejszym rozwa¿aniom dotycz¹cym parafiny p³ynnej.  aka jest krytyka Parrafin, jeœli chodzi o pielêgnacjê skóry?
Wilgoæ

Jedn¹ z krytyki p³ynnej parafiny jest to, ¿e w rzeczywistoœci nie nawil¿a ona skóry. Chocia¿ wzmocnienie naturalnej bariery wodnej skóry jest wa¿ne, wielu ekspertów w dziedzinie pielêgnacji skóry sugeruje, ¿e uczucie nawil¿enia wywo³ane przez p³ynn¹ parafinê jest myl¹ce.

Po na³o¿eniu produktu zawieraj¹cego p³ynn¹ parafinê skóra jest miêkka i jedwabista, a to dziêki olejowi mineralnemu, a nie samej teksturze skóry. Dlatego niektórzy twierdz¹, ¿e nawil¿aj¹cy efekt p³ynnej parafiny to tylko z³udzenie sensoryczne.

Ciek³a parafina z pewnoœci¹ sprawi, ¿e skóra bêdzie miêkka w dotyku, bariera, któr¹ tworzy na powierzchni skóry, pomaga zatrzymaæ wilgoæ. Jednak nie poprawia bezpoœrednio zawartoœci wilgoci i zrobi to tylko wtedy, gdy znajdzie siê na skórze, co zapewnia krótkotrwa³e korzyœci dla niektórych rodzajów skóry.
Rakotwórczoœæ

Poniewa¿ parafina ciek³a jest produkowana z ropy naftowej, wielu uwa¿a, ¿e ??parafina ciek³a jest zanieczyszczona 1,4-dioksanem. Ta substancja chemiczna zosta³a wymieniona jako prawdopodobny czynnik rakotwórczy przez Œwiatow¹ Organizacjê Zdrowia i Agencjê Ochrony Œrodowiska. Jednak wysokie wymagania stawiane s¹ parafinie p³ynnej, stosowanej w przemyœle kosmetycznym i farmaceutycznym. Musi przejœæ liczne etapy czyszczenia i testowania, zanim bêdzie móg³ zostaæ u¿yty w kosmetykach. Musi byæ w 99% czysty i ca³kowicie wolny od zanieczyszczeñ chemicznych, bakterii i œladów metali ciê¿kich. Ponadto, zgodnie z EWG Skin Deep Cosmetic Database, indeks zagro¿eñ parafinowych ma ocenê 1 – co jest najbezpieczniejsz¹ ocen¹, jak¹ mo¿e uzyskaæ sk³adnik.
Tr¹dzik

Uwa¿a siê, ¿e ciek³a parafina mo¿e zatykaæ pory i przyczyniaæ siê do rozwoju zaskórników, tr¹dziku i wyprysków. Niestety badania na ten temat nie s¹ wystarczaj¹co przekonuj¹ce. Ciek³a parafina i olej mineralny mog¹ pogorszyæ istniej¹ce problemy z tr¹dzikiem. Jednak zdecydowana wiêkszoœæ ludzi nie doœwiadczy tego rodzaju problemów.

W rzeczywistoœci w badaniu opublikowanym w Journal of Cosmetic Dermatology stwierdzono, ¿e olej mineralny klasy kosmetycznej nie zatyka porów, nie zatyka porów ani nie prowadzi do zaskórników i tr¹dziku. Jeœli masz historiê ciê¿kiego tr¹dziku, mo¿esz unikaæ p³ynnych parafinowych produktów do pielêgnacji skóry jako œrodka ostro¿noœci. ";PARAFFIN;2;{Emolient}
